ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange,Which
BigMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_FILL,D,None,None,None,None,OTHER
HILL_FILL,BigMario,U,None,None,None,None,OTHER
BigMario,HILL_LEFT,D,None,None,None,None,OTHER
HILL_LEFT,BigMario,U,None,None,None,None,OTHER
BigMario,HILL_FILL,D,None,None,None,None,OTHER
HILL_FILL,BigMario,U,None,None,None,None,OTHER
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,HILL_TOP_LEFT_IN,U,None,None,None,None,OTHER
HILL_TOP_LEFT_IN,BigMario,D,None,None,None,None,OTHER
BigMario,HILL_LEFT,R,None,None,None,None,OTHER
HILL_LEFT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_FILL,U,None,None,None,None,OTHER
HILL_FILL,BigMario,D,None,None,None,None,OTHER
BigMario,HILL_TOP_LEFT_IN,R,None,None,None,None,OTHER
HILL_TOP_LEFT_IN,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_TOP,R,None,None,None,None,OTHER
HILL_TOP,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_RIGHT,R,None,None,None,None,OTHER
HILL_RIGHT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_TOP,U,None,None,None,None,OTHER
HILL_TOP,BigMario,D,None,None,None,None,OTHER
BigMario,HILL_TOP_RIGHT,U,None,None,None,None,OTHER
HILL_TOP_RIGHT,BigMario,D,None,None,None,None,OTHER
BigMario,HILL_TOP_RIGHT,R,None,None,None,None,OTHER
HILL_TOP_RIGHT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_RIGHT,D,None,None,None,None,OTHER
HILL_RIGHT,BigMario,U,None,None,None,None,OTHER
BigMario,HILL_TOP_RIGHT,D,VelChange,BigMario,None,vy,A
HILL_TOP_RIGHT,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,BigMario,U,None,None,None,None,OTHER
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,HILL_LEFT,R,None,None,None,None,OTHER
HILL_LEFT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_TOP_LEFT,R,None,None,None,None,OTHER
HILL_TOP_LEFT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_LEFT,D,None,None,None,None,OTHER
HILL_LEFT,BigMario,U,None,None,None,None,OTHER
BigMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_TOP,R,None,None,None,None,OTHER
HILL_TOP,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_FILL,D,None,None,None,None,OTHER
HILL_FILL,BigMario,U,None,None,None,None,OTHER
BigMario,HILL_TOP_RIGHT,R,None,None,None,None,OTHER
HILL_TOP_RIGHT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_RIGHT,R,None,None,None,None,OTHER
HILL_RIGHT,BigMario,L,None,None,None,None,OTHER
BigMario,HILL_RIGHT,D,None,None,None,None,OTHER
HILL_RIGHT,BigMario,U,None,None,None,None,OTHER
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
Goomba,GROUND,D,VelChange,BigMario,None,vy,OTHER
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
GROUND,Goomba,U,VelChange,BigMario,None,vy,OTHER
BigMario,GROUND,D,VelChange,Goomba,None,vy,OTHER
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,Goomba,None,vy,OTHER
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,BLOCK,D,VelChange,BigMario,None,vy,A
BLOCK,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,QBLOCK,D,None,None,None,None,OTHER
QBLOCK,BigMario,U,None,None,None,None,OTHER
BigMario,BLOCK,D,None,None,None,None,OTHER
BLOCK,BigMario,U,None,None,None,None,OTHER
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
BigMario,GROUND,D,Delete,Goomba,None,None,OTHER
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
GROUND,BigMario,U,Delete,Goomba,None,None,OTHER
BigMario,Goomba,D,VelChange,BigMario,None,vy,A
BigMario,Goomba,D,VelChange,BigMario,None,vy,A
BigMario,Goomba,D,Delete,Goomba,None,None,B
Goomba,BigMario,U,VelChange,BigMario,None,vy,B
Goomba,BigMario,U,VelChange,BigMario,None,vy,B
Goomba,BigMario,U,Delete,Goomba,None,None,A
BigMario,BLOCK,R,VelChange,BigMario,None,vx,A
BLOCK,BigMario,L,VelChange,BigMario,None,vx,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,BLOCK,U,Change,BLOCK,SPENT,None,B
BigMario,BLOCK,U,Add,COIN,None,None,OTHER
BigMario,BLOCK,U,VelChange,BigMario,None,vy,A
BigMario,BLOCK,U,VelChange,BigMario,None,vx,A
BLOCK,BigMario,D,Change,BLOCK,SPENT,None,A
BLOCK,BigMario,D,Add,COIN,None,None,OTHER
BLOCK,BigMario,D,VelChange,BigMario,None,vy,B
BLOCK,BigMario,D,VelChange,BigMario,None,vx,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,COIN,R,Delete,COIN,None,None,B
BigMario,COIN,R,VelChange,BigMario,None,vy,A
COIN,BigMario,L,Delete,COIN,None,None,A
COIN,BigMario,L,VelChange,BigMario,None,vy,B
BigMario,SPENT,U,Delete,COIN,None,None,OTHER
BigMario,SPENT,U,VelChange,BigMario,None,vy,A
SPENT,BigMario,D,Delete,COIN,None,None,OTHER
SPENT,BigMario,D,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,COIN,R,Delete,COIN,None,None,B
COIN,BigMario,L,Delete,COIN,None,None,A
BigMario,null,U,Change,null,SPENT,None,B
BigMario,null,U,Add,FireFlower,None,None,OTHER
BigMario,null,U,VelChange,BigMario,None,vy,A
null,BigMario,D,Change,null,SPENT,None,A
null,BigMario,D,Add,FireFlower,None,None,OTHER
null,BigMario,D,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,COIN,R,Delete,COIN,None,None,B
COIN,BigMario,L,Delete,COIN,None,None,A
BigMario,QBLOCK,U,Change,QBLOCK,SPENT,None,B
BigMario,QBLOCK,U,Add,COIN,None,None,OTHER
BigMario,QBLOCK,U,VelChange,BigMario,None,vy,A
QBLOCK,BigMario,D,Change,QBLOCK,SPENT,None,A
QBLOCK,BigMario,D,Add,COIN,None,None,OTHER
QBLOCK,BigMario,D,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,BLOCK,U,Delete,16,None,None,OTHER
BigMario,BLOCK,U,VelChange,BigMario,None,vy,A
BLOCK,BigMario,D,Delete,16,None,None,OTHER
BLOCK,BigMario,D,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
BigMario,BLOCK,U,Change,BLOCK,SPENT,None,B
BigMario,BLOCK,U,Add,FireFlower,None,None,OTHER
BigMario,BLOCK,U,VelChange,BigMario,None,vy,A
BLOCK,BigMario,D,Change,BLOCK,SPENT,None,A
BLOCK,BigMario,D,Add,FireFlower,None,None,OTHER
BLOCK,BigMario,D,VelChange,BigMario,None,vy,B
BigMario,GROUND,D,VelChange,BigMario,None,vy,A
GROUND,BigMario,U,VelChange,BigMario,None,vy,B
FireMario,SPENT,D,VelChange,FireMario,None,vy,A
SPENT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,SPENT,D,VelChange,FireMario,None,vy,A
SPENT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,null,U,Change,null,SPENT,None,B
FireMario,null,U,Add,FireFlower,None,None,OTHER
FireMario,null,U,VelChange,FireMario,None,vy,A
null,FireMario,D,Change,null,SPENT,None,A
null,FireMario,D,Add,FireFlower,None,None,OTHER
null,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vx,A
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vx,B
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,QBLOCK,U,Change,QBLOCK,SPENT,None,B
FireMario,QBLOCK,U,Add,COIN,None,None,OTHER
FireMario,QBLOCK,U,VelChange,FireMario,None,vy,A
QBLOCK,FireMario,D,Change,QBLOCK,SPENT,None,A
QBLOCK,FireMario,D,Add,COIN,None,None,OTHER
QBLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,FireMario,U,None,None,None,None,OTHER
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,QBLOCK,U,Change,QBLOCK,SPENT,None,B
FireMario,QBLOCK,U,Add,COIN,None,None,OTHER
FireMario,QBLOCK,U,VelChange,FireMario,None,vy,A
QBLOCK,FireMario,D,Change,QBLOCK,SPENT,None,A
QBLOCK,FireMario,D,Add,COIN,None,None,OTHER
QBLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,None,None,None,None,OTHER
GROUND,FireMario,U,None,None,None,None,OTHER
FireMario,BLOCK,U,Change,BLOCK,SPENT,None,B
FireMario,BLOCK,U,Add,COIN,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Change,BLOCK,SPENT,None,A
BLOCK,FireMario,D,Add,COIN,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,LEFT_GRASS_EDGE,R,VelChange,FireMario,None,vx,A
LEFT_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,LEFT_UP_GRASS_EDGE,R,VelChange,FireMario,None,vx,A
LEFT_UP_GRASS_EDGE,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,HILL_TOP_LEFT,R,None,None,None,None,OTHER
HILL_TOP_LEFT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_LEFT,D,None,None,None,None,OTHER
HILL_LEFT,FireMario,U,None,None,None,None,OTHER
FireMario,HILL_FILL,D,None,None,None,None,OTHER
HILL_FILL,FireMario,U,None,None,None,None,OTHER
FireMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP,R,None,None,None,None,OTHER
HILL_TOP,FireMario,L,None,None,None,None,OTHER
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,HILL_RIGHT,R,None,None,None,None,OTHER
HILL_RIGHT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT_IN,R,None,None,None,None,OTHER
HILL_TOP_RIGHT_IN,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_FILL,U,None,None,None,None,OTHER
HILL_FILL,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_LEFT,U,None,None,None,None,OTHER
HILL_LEFT,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT,U,None,None,None,None,OTHER
HILL_TOP_RIGHT,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_RIGHT,R,None,None,None,None,OTHER
HILL_RIGHT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP,U,None,None,None,None,OTHER
HILL_TOP,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_RIGHT,U,None,None,None,None,OTHER
HILL_RIGHT,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT,R,None,None,None,None,OTHER
HILL_TOP_RIGHT,FireMario,L,None,None,None,None,OTHER
FireMario,LEFT_UP_GRASS_EDGE,D,VelChange,FireMario,None,vy,A
LEFT_UP_GRASS_EDGE,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,None,None,None,None,OTHER
GROUND,FireMario,U,None,None,None,None,OTHER
FireMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,FireMario,U,None,None,None,None,OTHER
FireMario,TUBE_TOP_LEFT,D,VelChange,FireMario,None,vy,A
TUBE_TOP_LEFT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,TUBE_TOP_RIGHT,D,None,None,None,None,OTHER
TUBE_TOP_RIGHT,FireMario,U,None,None,None,None,OTHER
FireMario,TUBE_TOP_LEFT,R,VelChange,FireMario,None,vx,A
TUBE_TOP_LEFT,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,TUBE_SIDE_LEFT,R,VelChange,FireMario,None,vx,A
TUBE_SIDE_LEFT,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,TUBE_SIDE_RIGHT,L,VelChange,FireMario,None,vx,A
TUBE_SIDE_RIGHT,FireMario,R,VelChange,FireMario,None,vx,B
FireMario,TUBE_TOP_RIGHT,L,VelChange,FireMario,None,vx,A
TUBE_TOP_RIGHT,FireMario,R,VelChange,FireMario,None,vx,B
FireMario,TUBE_TOP_LEFT,D,VelChange,FireMario,None,vy,A
TUBE_TOP_LEFT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,TUBE_TOP_LEFT,D,VelChange,FireMario,None,vy,A
TUBE_TOP_LEFT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,TUBE_TOP_RIGHT,D,None,None,None,None,OTHER
TUBE_TOP_RIGHT,FireMario,U,None,None,None,None,OTHER
FireMario,LEFT_UP_GRASS_EDGE,D,VelChange,FireMario,None,vy,A
LEFT_UP_GRASS_EDGE,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,None,None,None,None,OTHER
GROUND,FireMario,U,None,None,None,None,OTHER
FireMario,HILL_LEFT,R,None,None,None,None,OTHER
HILL_LEFT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP,U,None,None,None,None,OTHER
HILL_TOP,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_TOP,R,None,None,None,None,OTHER
HILL_TOP,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT,R,None,None,None,None,OTHER
HILL_TOP_RIGHT,FireMario,L,None,None,None,None,OTHER
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,HILL_LEFT,U,None,None,None,None,OTHER
HILL_LEFT,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_LEFT,R,None,None,None,None,OTHER
HILL_LEFT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP_LEFT,U,None,None,None,None,OTHER
HILL_TOP_LEFT,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_FILL,R,None,None,None,None,OTHER
HILL_FILL,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP,R,None,None,None,None,OTHER
HILL_TOP,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP,U,None,None,None,None,OTHER
HILL_TOP,FireMario,D,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT,R,None,None,None,None,OTHER
HILL_TOP_RIGHT,FireMario,L,None,None,None,None,OTHER
FireMario,HILL_TOP_RIGHT,D,VelChange,FireMario,None,vy,A
HILL_TOP_RIGHT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,HILL_TOP_RIGHT,D,VelChange,FireMario,None,vy,A
HILL_TOP_RIGHT,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,None,None,None,None,OTHER
GROUND,FireMario,U,None,None,None,None,OTHER
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Change,BLOCK,SPENT,None,B
FireMario,BLOCK,U,Add,FireFlower,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Change,BLOCK,SPENT,None,A
BLOCK,FireMario,D,Add,FireFlower,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,BLOCK,U,Change,BLOCK,SPENT,None,B
FireMario,BLOCK,U,Add,COIN,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Change,BLOCK,SPENT,None,A
BLOCK,FireMario,D,Add,COIN,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,BLOCK,U,Delete,16,None,None,OTHER
FireMario,BLOCK,U,VelChange,FireMario,None,vy,A
BLOCK,FireMario,D,Delete,16,None,None,OTHER
BLOCK,FireMario,D,VelChange,FireMario,None,vy,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,SPENT,R,VelChange,FireMario,None,vx,A
SPENT,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,SPENT,D,None,None,None,None,OTHER
SPENT,FireMario,U,None,None,None,None,OTHER
FireMario,BLOCK,D,None,None,None,None,OTHER
BLOCK,FireMario,U,None,None,None,None,OTHER
FireMario,BLOCK,D,None,None,None,None,OTHER
BLOCK,FireMario,U,None,None,None,None,OTHER
FireMario,SPENT,R,VelChange,FireMario,None,vx,A
SPENT,FireMario,L,VelChange,FireMario,None,vx,B
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,COIN,R,Delete,COIN,None,None,B
COIN,FireMario,L,Delete,COIN,None,None,A
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
FireMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,FireMario,U,None,None,None,None,OTHER
FireMario,GROUND,D,VelChange,FireMario,None,vy,A
GROUND,FireMario,U,VelChange,FireMario,None,vy,B
Mario,QBLOCK,U,Change,QBLOCK,SPENT,None,B
Mario,QBLOCK,U,Add,COIN,None,None,OTHER
Mario,QBLOCK,U,VelChange,Mario,None,vy,A
QBLOCK,Mario,D,Change,QBLOCK,SPENT,None,A
QBLOCK,Mario,D,Add,COIN,None,None,OTHER
QBLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vx,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vx,B
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,SPENT,U,VelChange,Mario,None,vy,A
SPENT,Mario,D,VelChange,Mario,None,vy,B
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vx,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vx,B
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,U,VelChange,Mario,None,vy,A
SPENT,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,QBLOCK,U,Change,QBLOCK,SPENT,None,B
Mario,QBLOCK,U,Add,COIN,None,None,OTHER
Mario,QBLOCK,U,VelChange,Mario,None,vy,A
QBLOCK,Mario,D,Change,QBLOCK,SPENT,None,A
QBLOCK,Mario,D,Add,COIN,None,None,OTHER
QBLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
